dummy_x_translation_joint,dummy_y_translation_joint,dummy_z_translation_joint,dummy_x_rotation_joint,dummy_y_rotation_joint,dummy_z_rotation_joint,WRJ2,WRJ1,FFJ4,FFJ3,FFJ2,FFJ1,LFJ5,LFJ4,LFJ3,LFJ2,LFJ1,MFJ4,MFJ3,MFJ2,MFJ1,RFJ4,RFJ3,RFJ2,RFJ1,THJ5,THJ4,THJ3,THJ2,THJ1
0.3770367,0.92547613,-0.28759277,0.38562992,0.23819894,-0.30383283,-0.5245988,-0.024383824,0.17307042,0.50610834,0.6741245,0.7263016,0.6782835,0.19940358,0.8281303,0.9083235,0.8567911,0.06910367,0.81256723,0.8417588,0.8069441,0.1484368,0.8912086,0.9133038,0.84902775,0.20384541,0.7689663,0.08574453,0.15614223,0.68996096
0.40994367,0.9888673,-0.16842127,0.72316974,0.21759446,-0.5299994,-0.5245988,-0.008685413,0.15826413,0.51873326,0.6182137,0.689641,0.44892097,0.2596424,0.92426705,1.0171432,0.9481731,0.11537186,0.80302715,0.7739595,0.76809454,0.16650456,0.9574747,0.8486782,0.8117722,0.21967708,0.71771896,0.11315831,0.14061564,0.6579565
0.4122466,0.9678012,-0.113426335,0.7748572,0.25968337,-0.6725353,-0.5245988,-0.0067062075,0.16322462,0.5952558,0.638998,0.6973201,0.28975576,0.2806568,0.8684879,1.0364541,0.9837215,0.12226589,0.82958394,0.7573173,0.75488317,0.17651351,0.9175604,0.8023485,0.7909912,0.19465414,0.75744087,0.15428586,0.12309292,0.6430872
0.41659763,0.9397749,-0.09857815,0.7755404,0.25623375,-0.67441154,-0.5239182,-0.009707515,0.16312738,0.59506553,0.63866687,0.6971592,0.28706414,0.28069782,0.86697125,1.0358988,0.983882,0.12238227,0.8287009,0.75618356,0.75425565,0.1766372,0.9167641,0.8011161,0.7903974,0.19437362,0.7572823,0.15463907,0.122714534,0.642817
0.4209362,0.911089,-0.083880536,0.7751918,0.25275868,-0.6770104,-0.5231173,-0.013628611,0.16282958,0.59446156,0.6382169,0.69697535,0.28439337,0.2806564,0.86560994,1.0353345,0.9839998,0.122431315,0.8271813,0.7548338,0.7535664,0.17672975,0.9157198,0.7997919,0.789771,0.19354811,0.75773335,0.15519121,0.12208135,0.6424483
0.44948816,0.88051337,-0.100004874,0.7394188,0.20629121,-0.75056386,-0.5245988,-0.09953736,0.16048528,0.5787292,0.62490356,0.69159997,0.230937,0.282631,0.8389952,1.0208011,0.9862288,0.1263803,0.78157425,0.7146164,0.7338901,0.18027459,0.886249,0.76425093,0.7740528,0.15348518,0.77615243,0.17260434,0.09614315,0.63010687
0.46956977,0.8675633,-0.082047075,0.79957235,0.14713709,-0.74494773,-0.5245988,-0.10012885,0.14286615,0.56315535,0.5847509,0.669112,0.1390861,0.2905709,0.78885037,0.9857973,0.98963946,0.13912477,0.7261422,0.6256355,0.68237686,0.18367086,0.8488944,0.6925143,0.73843247,0.09719219,0.742025,0.20108141,0.048039477,0.6134995
0.4696619,0.8422559,-0.08327811,0.80440927,0.1451776,-0.7470672,-0.5240879,-0.1015093,0.14220315,0.56203276,0.58359224,0.66852885,0.13740663,0.2906659,0.7883865,0.9853571,0.9897079,0.13930207,0.7248293,0.62405586,0.6815101,0.18360837,0.84787863,0.6913303,0.73788244,0.09619111,0.74192476,0.20149736,0.047291946,0.6131655
0.4712546,0.81541324,-0.083472334,0.8079409,0.14295037,-0.75007695,-0.523894,-0.104426906,0.14146088,0.5603252,0.581964,0.6677483,0.13561913,0.29076406,0.7880376,0.9847637,0.9897285,0.13956286,0.7227708,0.6220413,0.68046796,0.18350177,0.84606826,0.68965244,0.7371524,0.09425625,0.7418365,0.20186844,0.045919783,0.61255395
0.49876317,0.7942982,-0.09558521,0.80929804,0.09680887,-0.7843173,-0.5245988,-0.15177822,0.1000897,0.49637932,0.50546926,0.6289232,0.03833909,0.2999701,0.77294135,0.95568186,0.99232227,0.15211792,0.6625417,0.53087527,0.6295912,0.17019014,0.77877605,0.61256146,0.70243156,-0.017523881,0.68049073,0.20853548,-0.03400832,0.58303875
0.5122675,0.7720271,-0.10101006,0.81159365,0.07503032,-0.7767212,-0.5245988,-0.16453819,0.07345886,0.44772473,0.43473408,0.5920811,0.010465685,0.32800195,0.72788626,0.89484173,0.9810373,0.15562521,0.6094646,0.44048747,0.57805854,0.14440271,0.7069033,0.5304411,0.6653681,-0.08272654,0.6561847,0.2104395,-0.078279264,0.5730511
0.5157889,0.75474036,-0.1029535,0.8154606,0.07584473,-0.77808905,-0.5237971,-0.16462399,0.073085226,0.44689578,0.4334788,0.5914213,0.009815561,0.3284941,0.72682154,0.89383096,0.9808866,0.15549317,0.60843056,0.43893036,0.57718366,0.1438432,0.7056932,0.529158,0.66479975,-0.08346312,0.65708,0.2104395,-0.07873146,0.57295257
0.5202011,0.736276,-0.10534665,0.8188557,0.07640545,-0.7802287,-0.5236785,-0.16579136,0.072793834,0.44526353,0.43180925,0.59058326,0.009440678,0.32907906,0.72587466,0.8926007,0.98062116,0.15546645,0.6065377,0.43694758,0.5761152,0.14306925,0.70412564,0.5276295,0.66412544,-0.08515921,0.65863144,0.2104395,-0.07985072,0.57255495
0.5334641,0.72314304,-0.11012911,0.82518536,0.06349709,-0.7984835,-0.5229308,-0.18119837,0.06352213,0.37819397,0.35669112,0.5525908,-0.001,0.34986618,0.6782972,0.8293745,0.9660729,0.15161398,0.5475648,0.35255903,0.528396,0.09895679,0.64393306,0.45799598,0.6326191,-0.1799806,0.6753835,0.2104395,-0.14403285,0.5521492
0.53659266,0.70714635,-0.111553036,0.8286244,0.06461156,-0.79820436,-0.5228939,-0.18036345,0.06346912,0.37810776,0.35653087,0.55250037,-1.3770575e-05,0.3490976,0.6781803,0.8291865,0.96600574,0.15156813,0.5474663,0.35238332,0.52829105,0.09885625,0.6437896,0.45780653,0.63252085,-0.1800009,0.67552257,0.20958179,-0.14404275,0.55214775
0.5387229,0.6991602,-0.11328311,0.8305002,0.065276,-0.798208,-0.52289987,-0.18006009,0.063421704,0.37791565,0.35635135,0.55241114,-3.9149127e-05,0.34910297,0.6780711,0.8290127,0.9659489,0.15154812,0.54735965,0.35221204,0.52819204,0.09876516,0.6436554,0.4576326,0.63243586,-0.18006685,0.6757086,0.20958927,-0.1440751,0.5521378
0.54097134,0.69023246,-0.11560798,0.8326558,0.06594138,-0.7982678,-0.5228832,-0.17978282,0.06340351,0.37770692,0.3561704,0.55232316,-5.8178255e-05,0.34909543,0.67793787,0.8288178,0.96588624,0.15152478,0.5472378,0.3520285,0.52808714,0.098669216,0.6434889,0.45743316,0.6323392,-0.18014704,0.6759447,0.20958929,-0.1441134,0.55212265
0.54304606,0.68627506,-0.11726436,0.83348674,0.06647227,-0.79851794,-0.5228154,-0.17994213,0.06334613,0.3773187,0.35589677,0.5521987,-0.00010703558,0.34911042,0.6777803,0.8285762,0.9658183,0.15148664,0.54708946,0.35180616,0.5279628,0.09854559,0.6432739,0.45717922,0.6322213,-0.18032756,0.6762319,0.20964196,-0.14421263,0.5520854
0.54519844,0.68228465,-0.11951018,0.8344778,0.06697583,-0.79867435,-0.52279496,-0.18006419,0.06329325,0.37686077,0.35559583,0.55206335,-0.00013762871,0.34909874,0.67764056,0.82831585,0.96574426,0.15144707,0.5469606,0.351583,0.52783597,0.098403156,0.643069,0.45691064,0.6320947,-0.18057117,0.6764821,0.20965347,-0.14435753,0.55202776
0.54771113,0.6792656,-0.120733075,0.8342915,0.06743027,-0.79908615,-0.52229077,-0.18090521,0.063136116,0.37584257,0.35501033,0.5518111,-0.00028042542,0.3491114,0.67733425,0.8278166,0.96560407,0.15132606,0.54674226,0.35120302,0.52762085,0.09819834,0.64275897,0.45644358,0.63186985,-0.18097131,0.6769045,0.20981467,-0.14458907,0.5519412
0.5658538,0.6644083,-0.14615108,0.7827902,0.033928644,-0.77812314,-0.5082236,-0.23142661,0.04788951,0.2777995,0.29600826,0.5258285,-0.001,0.3499996,0.6393125,0.7688556,0.9500532,0.14204124,0.5506559,0.32044756,0.50819105,0.07459349,0.62570363,0.40937302,0.6085429,-0.222045,0.6684618,0.2104395,-0.16781533,0.5459173
0.56770164,0.66201323,-0.14615265,0.78320885,0.034679957,-0.7779428,-0.508,-0.2311461,0.047798403,0.27772173,0.29593158,0.525793,-0.00012084571,0.3490739,0.6392239,0.76871264,0.9500153,0.14196734,0.5506819,0.32038426,0.50814724,0.0745647,0.625687,0.40926835,0.6084885,-0.22204128,0.66846454,0.20953076,-0.16779193,0.54594135
0.5691401,0.65942144,-0.14658214,0.78377646,0.035281893,-0.7777126,-0.50785875,-0.2308473,0.047708265,0.27763185,0.29585764,0.52575964,-0.00011796177,0.3490645,0.6391525,0.76857066,0.949975,0.14187612,0.55074525,0.32034737,0.50811696,0.07454108,0.625689,0.40917093,0.60843647,-0.22199655,0.6684336,0.20951135,-0.16774009,0.5459789
